Cohort,Customers,0-6 days,7-13 days,14-20 days,21-27 days,28-34 days,35-41 days,42-48 days,49-55 days,56-62 days,63-69 days,70-76 days,77-83 days,84-90 days,91-97 days,98-104 days,105-111 days,112-118 days,119-125 days,126-132 days,133-139 days,140-146 days,147-153 days,154-160 days,161-167 days,168-174 days,175-181 days,182-188 days
07/01-07/07,983 customers,"13.84% orderers (136)
13.84% 1st time (136) "
06/24-06/30,665 customers,"14.74% orderers (98)
14.74% 1st time (98) ","3.46% orderers (23)
1.80% 1st time (12) "
06/17-06/23,816 customers,"16.79% orderers (137)
16.79% 1st time (137) ","4.66% orderers (38)
1.84% 1st time (15) ","1.84% orderers (15)
0.37% 1st time (3) "
06/10-06/16,916 customers,"16.16% orderers (148)
16.16% 1st time (148) ","4.80% orderers (44)
1.75% 1st time (16) ","4.04% orderers (37)
0.98% 1st time (9) ","1.97% orderers (18)
0.33% 1st time (3) "
06/03-06/09,755 customers,"13.91% orderers (105)
13.91% 1st time (105) ","4.77% orderers (36)
2.25% 1st time (17) ","4.50% orderers (34)
1.06% 1st time (8) ","3.31% orderers (25)
0.93% 1st time (7) ","2.78% orderers (21)
0.93% 1st time (7) "
05/27-06/02,791 customers,"13.53% orderers (107)
13.53% 1st time (107) ","4.42% orderers (35)
1.26% 1st time (10) ","4.42% orderers (35)
1.90% 1st time (15) ","4.05% orderers (32)
1.14% 1st time (9) ","3.92% orderers (31)
0.63% 1st time (5) ","1.39% orderers (11)
0.38% 1st time (3) "
05/20-05/26,805 customers,"14.41% orderers (116)
14.41% 1st time (116) ","5.59% orderers (45)
2.24% 1st time (18) ","5.09% orderers (41)
1.24% 1st time (10) ","3.85% orderers (31)
0.87% 1st time (7) ","5.09% orderers (41)
0.75% 1st time (6) ","4.10% orderers (33)
0.25% 1st time (2) ","2.61% orderers (21)
0.12% 1st time (1) "
05/13-05/19,543 customers,"15.84% orderers (86)
15.84% 1st time (86) ","3.50% orderers (19)
1.84% 1st time (10) ","4.97% orderers (27)
1.66% 1st time (9) ","4.05% orderers (22)
0.92% 1st time (5) ","4.24% orderers (23)
1.47% 1st time (8) ","4.97% orderers (27)
1.29% 1st time (7) ","3.50% orderers (19)
0.55% 1st time (3) ","2.76% orderers (15)
0.37% 1st time (2) "
05/06-05/12,593 customers,"14.17% orderers (84)
14.17% 1st time (84) ","4.72% orderers (28)
1.85% 1st time (11) ","3.88% orderers (23)
0.67% 1st time (4) ","5.06% orderers (30)
1.69% 1st time (10) ","4.05% orderers (24)
0.34% 1st time (2) ","4.38% orderers (26)
1.18% 1st time (7) ","5.06% orderers (30)
1.01% 1st time (6) ","3.71% orderers (22)
0.67% 1st time (4) ","1.18% orderers (7)
0.00% 1st time (0) "
04/29-05/05,598 customers,"16.22% orderers (97)
16.22% 1st time (97) ","5.02% orderers (30)
1.84% 1st time (11) ","4.68% orderers (28)
0.67% 1st time (4) ","5.18% orderers (31)
1.34% 1st time (8) ","4.18% orderers (25)
0.33% 1st time (2) ","4.18% orderers (25)
0.67% 1st time (4) ","4.18% orderers (25)
0.50% 1st time (3) ","4.35% orderers (26)
0.50% 1st time (3) ","4.01% orderers (24)
0.50% 1st time (3) ","1.67% orderers (10)
0.17% 1st time (1) "
04/22-04/28,856 customers,"14.72% orderers (126)
14.72% 1st time (126) ","5.14% orderers (44)
1.17% 1st time (10) ","3.27% orderers (28)
0.70% 1st time (6) ","3.04% orderers (26)
0.93% 1st time (8) ","3.50% orderers (30)
0.58% 1st time (5) ","3.39% orderers (29)
0.70% 1st time (6) ","2.92% orderers (25)
0.23% 1st time (2) ","2.80% orderers (24)
0.58% 1st time (5) ","2.80% orderers (24)
0.58% 1st time (5) ","3.50% orderers (30)
0.47% 1st time (4) ","2.10% orderers (18)
0.47% 1st time (4) "
04/15-04/21,597 customers,"9.55% orderers (57)
9.55% 1st time (57) ","4.36% orderers (26)
1.84% 1st time (11) ","3.85% orderers (23)
0.34% 1st time (2) ","3.18% orderers (19)
0.50% 1st time (3) ","3.85% orderers (23)
0.50% 1st time (3) ","1.68% orderers (10)
0.00% 1st time (0) ","2.68% orderers (16)
0.67% 1st time (4) ","1.34% orderers (8)
0.00% 1st time (0) ","3.85% orderers (23)
0.67% 1st time (4) ","3.69% orderers (22)
0.17% 1st time (1) ","2.35% orderers (14)
0.34% 1st time (2) ","2.01% orderers (12)
0.17% 1st time (1) "
